Checksum Id Operacao;Data do Inicio;Data da Deflagracao;Tipo de Operacao;Area;Sigla Unidade Federativa;Sigla Unidade Institucional;Atuacao em Territorio Indigena;Atuacao em Territorio de Fronteira;Qtd Prisao em Flagrante;Qtd Prisao Preventiva;Qtd Prisao Temporaria;Qtd Mandado de Busca e Apreesao;Qtd Valores Apreendidos;Qtd Valores Apreendidos i11;Qtd Valores Descapitalizados;Qtd Prejuizos Causados a Uniao;Proib Ausentar Comarca;Proib Acesso ou Freq;Comparecimento Juizo;Qtd Fianca;Qtd Internacao Prov;Proib Contato;Mand Jud Caut Assec;Recol Domic Noturno;Susp Ex Func Pub A E;Monit Eletronica
8d348cad1a0ee6c9b08da93cbda4ef67;13/01/2022;30/09/2022;Operacao Comum   ;Crimes Ambientais e Contra o Patrimônio Cultural                                                                                ;RJ;DPF/NIG/RJ                                                      ;Nao;                                                                                                                                ;0;0;0;1;R$20.000,00;;;;0;0;0;0;0;0;0;0;0;0
11f2e297146f82c901fd996a6d9516f9;30/09/2022;30/09/2022;Operacao Comum   ;Crimes Fazendários                                                                                                              ;MG;DPF/IPN/MG                                                      ;Nao;                                                                                                                                ;0;0;0;0;R$1.000,00;;;;0;0;0;0;0;0;0;0;0;0
8f3bab281381d396a84d2f0a6821d5a7;30/09/2022;30/09/2022;Operacao Comum   ;Crimes Fazendários                                                                                                              ;MG;DPF/IPN/MG                                                      ;Nao;                                                                                                                                ;0;0;0;0;R$1.000,00;;;;0;0;0;0;0;0;0;0;0;0
a11ff2adf5471e904fe56058e3be4ef3;30/09/2022;30/09/2022;Operacao Simples ;Crimes Eleitorais                                                                                                               ;RJ;DPF/GOY/RJ                                                      ;Nao;                                                                                                                                ;0;0;0;0;R$6.150,00;;;;0;0;0;0;0;0;0;0;0;0
750648c16c5d770f39d1cb048bdb1fb1;30/09/2022;30/09/2022;Operacao Simples ;Crimes Ambientais e Contra o Patrimônio Cultural                                                                                ;PA;DPF/SNM/PA                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
991c377446c7339aa2fffa3ef68a471e;30/09/2022;30/09/2022;Operacao Simples ;Crimes Ambientais e Contra o Patrimônio Cultural                                                                                ;RS;DPF/SCS/RS                                                      ;Nao;                                                                                                                                ;0;0;0;0;R$218.518,00;;;;0;0;0;0;0;0;0;0;0;0
ca70ee660dbe041ce148b902503fd5a0;30/09/2022;30/09/2022;Operacao Simples ;Tráfico de Drogas                                                                                                               ;RO;DPF/GMI/RO                                                      ;Nao;Bolívia                                                                                                                         ;0;0;0;0;R$15.260,00;;;;0;0;0;0;0;0;0;0;0;0
0906b0bfa15b848264cc97903c8df716;30/09/2022;30/09/2022;Operacao Simples ;Crimes Ambientais e Contra o Patrimônio Cultural                                                                                ;RS;DPF/SBA/RS                                                      ;Nao;Argentina                                                                                                                       ;0;0;0;0;R$263.916,00;;;;0;0;0;0;0;0;0;0;0;0
3918b7b381a91ea1cfadfb3052881ba4;30/09/2022;30/09/2022;Operacao Comum   ;Crimes Eleitorais                                                                                                               ;SE;SR/PF/SE                                                        ;Nao;                                                                                                                                ;0;0;0;4;R$49.746,00;;;;0;0;0;0;0;0;0;0;0;0
86942e65a25151815bf4c834a4ae809d;30/09/2022;30/09/2022;Operacao Comum   ;Tráfico de Drogas                                                                                                               ;MT;DPF/BRG/MT                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
83bb3b487b34713d03005adc5b5aef41;30/09/2022;30/09/2022;Operacao Simples ;Crimes Fazendários                                                                                                              ;ES;SR/PF/ES                                                        ;Nao;                                                                                                                                ;0;0;0;0;R$1.002,00;;;;0;0;0;0;0;0;0;0;0;0
40c52ce0b566bf16434d113f24e27301;30/09/2022;30/09/2022;Operacao Simples ;Tráfico de Drogas                                                                                                               ;MS;SR/PF/MS                                                        ;Nao;                                                                                                                                ;0;0;0;0;R$37.706,00;;;;0;0;0;0;0;0;0;0;0;0
dbc298a45f6ec82393845739277e60aa;30/09/2022;30/09/2022;Operacao de Apoio;Crimes Fazendários                                                                                                              ;AC;DPF/EPA/AC                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
c48b74bf128efd72dd7dcf4182e591ee;30/09/2022;30/09/2022;Operacao Simples ;Tráfico de Drogas                                                                                                               ;MS;DPF/PPA/MS                                                      ;Nao;Paraguai                                                                                                                        ;0;0;0;0;R$10.657,00;;;;0;0;0;0;0;0;0;0;0;0
9b55381ce36fcee5d313fe5b6b28a022;30/09/2022;30/09/2022;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;SE;SR/PF/SE                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
