Checksum Id Operacao;Data do Inicio;Data da Deflagracao;Tipo de Operacao;Area;Sigla Unidade Federativa;Sigla Unidade Institucional;Atuacao em Territorio Indigena;Atuacao em Territorio de Fronteira;Qtd Prisao em Flagrante;Qtd Prisao Preventiva;Qtd Prisao Temporaria;Qtd Mandado de Busca e Apreesao;Qtd Valores Apreendidos;Qtd Valores Apreendidos i11;Qtd Valores Descapitalizados;Qtd Prejuizos Causados a Uniao;Proib Ausentar Comarca;Proib Acesso ou Freq;Comparecimento Juizo;Qtd Fianca;Qtd Internacao Prov;Proib Contato;Mand Jud Caut Assec;Recol Domic Noturno;Susp Ex Func Pub A E;Monit Eletronica
2dfc3a15689edfc90305c507af86e7e9;19/11/2021;31/05/2022;Operacao Especial;Crimes Fazendários                                                                                                              ;RS;DPF/SAG/RS                                                      ;Nao;                                                                                                                                ;0;0;0;19;R$1.596.971,00;;;;0;0;0;0;0;0;20;0;0;0
664129a357e9645ac9383acbbdfffc1a;05/01/2022;31/05/2022;Operacao Simples ;Crimes Ambientais e Contra o Patrimônio Cultural                                                                                ;ES;DPF/CIT/ES                                                      ;Nao;                                                                                                                                ;0;0;0;1;;;;;0;0;0;0;0;0;0;0;0;0
d376ecd5229dd1295e30b163f23fe1dd;22/03/2022;31/05/2022;Operacao Especial;Crimes Fazendários                                                                                                              ;SP;DPF/PCA/SP                                                      ;Nao;                                                                                                                                ;0;0;0;4;R$3.500,00;;;R$24.678,00;0;0;0;0;0;0;0;0;0;0
3cec71c1070fd792e73a5c9a6cedef17;24/03/2022;31/05/2022;Operacao Comum   ;Crimes Contra o Patrimônio                                                                                                      ;BA;SR/PF/BA                                                        ;Nao;                                                                                                                                ;0;1;0;1;;;;;0;0;0;0;0;0;0;0;0;0
f77e6933fcd36e8df8af982592d59ce7;11/04/2022;31/05/2022;Operacao Especial;Crimes de Ódio e Pornografia Infantil                                                                                           ;MA;SR/PF/MA                                                        ;Nao;                                                                                                                                ;0;1;0;1;;;;;0;0;0;0;0;0;0;0;0;0
f423423863960a21f2bb75f5095dc6fb;19/04/2022;31/05/2022;Operacao Especial;Crimes de Ódio e Pornografia Infantil                                                                                           ;MG;DPF/DVS/MG                                                      ;Nao;                                                                                                                                ;0;0;0;1;;;;;0;0;0;0;0;0;0;0;0;0
6d6efb3c6a17ee7f5c247f5ec88b3f81;29/04/2022;31/05/2022;Operacao Especial;Crimes de Ódio e Pornografia Infantil                                                                                           ;PR;DPF/LDA/PR                                                      ;Nao;                                                                                                                                ;1;0;0;1;;;;;0;0;0;0;0;0;0;0;0;0
46fb9b2c8f44c481fd5647dd22aeb84d;01/05/2022;31/05/2022;Operacao Especial;Crimes de Ódio e Pornografia Infantil                                                                                           ;MG;DPF/MOC/MG                                                      ;Nao;                                                                                                                                ;1;0;0;1;;;;;0;0;0;0;0;0;0;0;0;0
174edde7313a8f0cdead57d726ad6f97;04/05/2022;31/05/2022;Operacao Especial;Crimes de Ódio e Pornografia Infantil                                                                                           ;MG;SR/PF/MG                                                        ;Nao;                                                                                                                                ;4;0;1;5;;;;;0;0;0;0;0;0;0;0;0;0
986b701d5b9bb1e34b79d0266dc18c7d;27/05/2022;31/05/2022;Operacao Especial;Crimes de Ódio e Pornografia Infantil                                                                                           ;AP;SR/PF/AP                                                        ;Nao;                                                                                                                                ;1;0;0;1;;;;;0;0;0;0;0;0;0;0;0;0
df8ee56a70433339a6c4d6381e9cb0b4;31/05/2022;31/05/2022;Operacao Simples ;Crimes Ambientais e Contra o Patrimônio Cultural                                                                                ;RS;DPF/SAG/RS                                                      ;Nao;Argentina                                                                                                                       ;0;0;0;0;R$91.212,00;;;R$62.500,00;0;0;0;0;0;0;0;0;0;0
78cb280845b7fee8c271d03c242daef7;31/05/2022;31/05/2022;Operacao Simples ;Crimes Fazendários                                                                                                              ;MS;DPF/TLS/MS                                                      ;Nao;                                                                                                                                ;0;0;0;0;R$61.847,00;;;;0;0;0;0;0;0;0;0;0;0
b60039f132658309ed522a28fcacd50a;31/05/2022;31/05/2022;Operacao Simples ;Crimes Fazendários                                                                                                              ;SC;SR/PF/SC                                                        ;Nao;                                                                                                                                ;0;0;0;0;R$109.600,00;;;;0;0;0;0;0;0;0;0;0;0
135c842109b6986e9118902ed9bc84b0;31/05/2022;31/05/2022;Operacao Comum   ;Crimes Fazendários                                                                                                              ;PA;DPF/RDO/PA                                                      ;Nao;                                                                                                                                ;0;0;0;1;;;;;0;0;0;0;0;0;0;0;0;0
0ba3915d4c2e57d8369c3b8af46991bb;31/05/2022;31/05/2022;Operacao Comum   ;Crimes Fazendários                                                                                                              ;PA;DPF/RDO/PA                                                      ;Nao;                                                                                                                                ;1;0;0;0;R$1.000,00;;;;1;0;1;1;0;0;0;0;0;0
563203480bdf810ee9bc504fcf0629f0;31/05/2022;31/05/2022;Operacao Simples ;Tráfico de Drogas                                                                                                               ;MS;SR/PF/MS                                                        ;Nao;                                                                                                                                ;0;0;0;0;R$10.000,00;;;;0;0;0;0;0;0;0;0;0;0
50d7b9521847a6bab761d46be5b7c24c;31/05/2022;31/05/2022;Operacao de Apoio;Crimes Contra Direitos Humanos                                                                                                  ;AC;DPF/EPA/AC                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
ea60492f005875570cd388a12a42d139;31/05/2022;31/05/2022;Operacao de Apoio;Assuntos Internos                                                                                                               ;AC;SR/PF/AC                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
c2570dda9ccca2b752e7f88da3fb35c0;31/05/2022;31/05/2022;Operacao Simples ;Tráfico de Drogas                                                                                                               ;PE;SR/PF/PE                                                        ;Nao;                                                                                                                                ;1;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
f8ab98d0f6e8a536ca3832ad18d01d50;31/05/2022;31/05/2022;Operacao Simples ;Crimes de Ódio e Pornografia Infantil                                                                                           ;MG;DPF/GVS/MG                                                      ;Nao;                                                                                                                                ;1;0;0;1;;;;;0;0;0;0;0;0;0;0;0;0
70bf54530cab6be46acaf7d324e2ed42;31/05/2022;31/05/2022;Operacao Simples ;Tráfico de Armas                                                                                                                ;PR;DPF/GRA/PR                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
63c263cb67be57e9c316225c8fd892e2;31/05/2022;31/05/2022;Operacao Simples ;Tráfico de Drogas                                                                                                               ;PR;DPF/GRA/PR                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
59ec71c4b305cafcf52bc5b2c09e6e80;31/05/2022;31/05/2022;Operacao de Apoio;Crimes Ambientais e Contra o Patrimônio Cultural                                                                                ;PB;DPF/CGE/PB                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
3a4a8e637f6d91c59ceab52406a71cc4;31/05/2022;31/05/2022;Operacao Simples ;Crimes Fazendários                                                                                                              ;ES;SR/PF/ES                                                        ;Nao;                                                                                                                                ;1;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
938b5bea510f483f7cf57b79e7cc028b;31/05/2022;31/05/2022;Operacao Simples ;Crimes Fazendários                                                                                                              ;SC;DPF/DCQ/SC                                                      ;Nao;Argentina                                                                                                                       ;0;0;0;0;R$6.080,00;;;;0;0;0;0;0;0;0;0;0;0
92deb57a09b61853e59e117cbc844b91;31/05/2022;31/05/2022;Operacao de Apoio;Crimes Fazendários                                                                                                              ;AC;DPF/EPA/AC                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
5b71786c669e2f8a0dbce024df9c09d3;31/05/2022;31/05/2022;Operacao Simples ;Tráfico de Drogas                                                                                                               ;RR;SR/PF/RR                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
ac87dabfc5d0d88087d887d8f97ed645;31/05/2022;31/05/2022;Operacao Especial;Crimes de Ódio e Pornografia Infantil                                                                                           ;MG;DPF/JFA/MG                                                      ;Nao;                                                                                                                                ;0;0;0;3;;;;;0;0;0;0;0;0;0;0;0;0
440effbb63549f43a873fcd23a6919e0;31/05/2022;31/05/2022;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;SP;DPF/BRU/SP                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
76f0a052efb73a6d943dc26c9cd60833;31/05/2022;31/05/2022;Operacao de Apoio;Crimes Fazendários                                                                                                              ;SC;SR/PF/SC                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
8bedff893165ee8953cc180e714fb810;31/05/2022;31/05/2022;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;RO;DPF/JPN/RO                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
3f8c855e1ccc3466ab76aac3acdd6556;31/05/2022;31/05/2022;Operacao de Apoio;Crimes Ambientais e Contra o Patrimônio Cultural                                                                                ;RJ;DPF/NIG/RJ                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
b337ef45d49c207b1b21ac467d508c36;31/05/2022;31/05/2022;Operacao Especial;Crimes Fazendários                                                                                                              ;GO;NIP/SR/PF/GO                                                    ;Nao;                                                                                                                                ;0;0;0;1;;;;;0;0;0;0;0;0;0;0;0;0
4183f64f3ab1929ac1c244f8fe0b9ba5;31/05/2022;31/05/2022;Operacao Simples ;Tráfico de Drogas                                                                                                               ;CE;SR/PF/CE                                                        ;Nao;                                                                                                                                ;1;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
76cccc64cad9cdbd33256bf361668073;31/05/2022;31/05/2022;Operacao Simples ;Tráfico de Drogas                                                                                                               ;CE;SR/PF/CE                                                        ;Nao;                                                                                                                                ;1;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
b0c7b309bac57b55eb09651723209f3b;31/05/2022;31/05/2022;Operacao Simples ;Tráfico de Drogas                                                                                                               ;CE;SR/PF/CE                                                        ;Nao;                                                                                                                                ;1;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
977903b46ec216f94c45fbb9a690a1c5;31/05/2022;31/05/2022;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;PE;SR/PF/PE                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
4a2dbdf2dc8b0fee59f5d817da5844b7;31/05/2022;31/05/2022;Operacao Simples ;Crimes Fazendários                                                                                                              ;PR;DPF/PNG/PR                                                      ;Nao;                                                                                                                                ;0;0;0;0;R$24.538,00;;;R$8.595,00;0;0;0;0;0;0;0;0;0;0
5cacb73e4f308903b43782e2a7428a3c;31/05/2022;31/05/2022;Operacao de Apoio;Crimes Ambientais e Contra o Patrimônio Cultural                                                                                ;TO;SR/PF/TO                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
c5989ce9e339b7ba64f1023c182cb10f;15/06/2022;31/05/2022;Operacao Especial;Crimes Ambientais e Contra o Patrimônio Cultural                                                                                ;RO;SR/PF/RO                                                        ;Sim;Bolívia                                                                                                                         ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
4219c44e9d2aaf4b44b88db987571e07;27/06/2022;31/05/2022;Operacao Comum   ;Crimes Fazendários                                                                                                              ;MG;DPF/IPN/MG                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
7d1d8bfc2e16c69a17ac833597e2a9b0;08/09/2022;31/05/2022;Operacao Comum   ;Crimes Fazendários                                                                                                              ;MG;DPF/IPN/MG                                                      ;Nao;                                                                                                                                ;0;0;0;0;R$1.000,00;;;;0;0;0;0;0;0;0;0;0;0
35382975e1015bb4aaa14f7dc2d11cba;08/09/2022;31/05/2022;Operacao Comum   ;Crimes Fazendários                                                                                                              ;MG;DPF/IPN/MG                                                      ;Nao;                                                                                                                                ;0;0;0;0;R$1.000,00;;;;0;0;0;0;0;0;0;0;0;0
647d4968ec9e8c50117e6f188a02fe56;17/05/2022;30/05/2022;Operacao Especial;Crimes de Ódio e Pornografia Infantil                                                                                           ;PE;NIP/SR/PF/PE                                                    ;Nao;                                                                                                                                ;0;0;0;1;;;;;0;0;0;0;0;0;0;0;0;0
