Sigla Unidade Federativa,Nao,Sim
AC,16042.341085271319,3410.0
MA,161738.8735632184,845975.75
MT,588160.427184466,702857.1428571428
PA,116877.87570621469,257681.1923076923
PB,1043403.5741935484,0.0
RO,2585626.1715116277,320519.14285714284
RR,85111.34229828851,155094.85714285713
RS,205684.18329177058,0.0
SP,253481.39239543726,150757445.0
TO,106095.97945205479,0.0
