Checksum Id Operacao;Data do Inicio;Data da Deflagracao;Tipo de Operacao;Area;Sigla Unidade Federativa;Sigla Unidade Institucional;Atuacao em Territorio Indigena;Atuacao em Territorio de Fronteira;Qtd Prisao em Flagrante;Qtd Prisao Preventiva;Qtd Prisao Temporaria;Qtd Mandado de Busca e Apreesao;Qtd Valores Apreendidos;Qtd Valores Apreendidos i11;Qtd Valores Descapitalizados;Qtd Prejuizos Causados a Uniao;Proib Ausentar Comarca;Proib Acesso ou Freq;Comparecimento Juizo;Qtd Fianca;Qtd Internacao Prov;Proib Contato;Mand Jud Caut Assec;Recol Domic Noturno;Susp Ex Func Pub A E;Monit Eletronica
8a7a14cd9861f6b4dee830902814d315;17/08/2020;30/11/2022;Operacao Comum   ;Crimes Fazendários                                                                                                              ;SC;DPF/DCQ/SC                                                      ;Nao;Argentina                                                                                                                       ;0;0;0;1;R$1.000,00;;;;0;0;0;0;0;0;0;0;0;0
e68a3fa1ef62f80ce940bed20eb15553;08/06/2022;30/11/2022;Operacao Especial;Crimes de Corrupção                                                                                                             ;PE;SR/PF/PE                                                        ;Nao;                                                                                                                                ;0;0;0;66;R$5.516.986,00;;;R$8.500.000,00;0;0;0;0;0;0;0;0;0;0
33e5d3525adaaed16372d587763a4ff2;28/09/2022;30/11/2022;Operacao Comum   ;Crimes Previdenciários                                                                                                          ;PE;SR/PF/PE                                                        ;Nao;                                                                                                                                ;0;0;0;1;;;;;0;0;0;0;0;0;0;0;0;0
474e69da1d341262cb3c9363e974ee5e;13/10/2022;30/11/2022;Operacao Comum   ;Crimes de Corrupção                                                                                                             ;RR;SR/PF/RR                                                        ;Sim;                                                                                                                                ;0;0;0;7;;;;R$572.576,00;0;0;0;0;0;0;0;0;3;0
117164c17de9189b2e747a86836eaefa;22/11/2022;30/11/2022;Operacao Comum   ;Crimes de Ódio e Pornografia Infantil                                                                                           ;MA;SR/PF/MA                                                        ;Nao;                                                                                                                                ;0;8;0;0;;;;;0;0;0;0;0;0;0;0;0;0
372988d1fe77bc26980bc0372f24505f;25/11/2022;30/11/2022;Operacao Comum   ;Crimes Eleitorais                                                                                                               ;AM;SR/PF/AM                                                        ;Nao;                                                                                                                                ;0;0;0;5;;;;;0;0;0;0;0;0;0;0;0;0
75a9541ac7c83d368cc3edb3391e5f35;29/11/2022;30/11/2022;Operacao Especial;Crimes Fazendários                                                                                                              ;MT;DPF/ROO/MT                                                      ;Nao;                                                                                                                                ;0;0;0;3;;;;;0;0;0;0;0;0;0;0;0;0
d6d5abb0f32fcdc07c1bf487ec5ce10a;30/11/2022;30/11/2022;Operacao Simples ;Tráfico de Drogas                                                                                                               ;PR;DPF/FIG/PR                                                      ;Nao;Paraguai                                                                                                                        ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
e8dcb850c71e3dd4a1052bb4b1d3caca;30/11/2022;30/11/2022;Operacao Simples ;Tráfico de Drogas                                                                                                               ;PR;DPF/PNG/PR                                                      ;Nao;                                                                                                                                ;0;0;0;0;R$148.086,00;;;;0;0;0;0;0;0;0;0;0;0
dcc658ec5f896d71d822646a352bef39;30/11/2022;30/11/2022;Operacao Comum   ;Crimes Fazendários                                                                                                              ;SP;DPF/BRU/SP                                                      ;Nao;                                                                                                                                ;1;0;0;0;R$2.000,00;;;;0;0;0;0;0;0;0;0;0;0
