ESTADOS,QUANTIDADE
AP,42.0
MA,91.0
DF,108.0
SE,117.0
PI,145.0
TO,147.0
AL,148.0
PB,156.0
ES,173.0
RN,174.0
GO,200.0
MT,213.0
AM,240.0
CE,242.0
BA,245.0
AC,259.0
PE,299.0
RO,358.0
PA,380.0
SC,384.0
RR,416.0
MG,649.0
RJ,670.0
RS,809.0
MS,937.0
SP,1317.0
PR,1349.0
,
