Checksum Id Operacao;Data do Inicio;Data da Deflagracao;Tipo de Operacao;Area;Sigla Unidade Federativa;Sigla Unidade Institucional;Atuacao em Territorio Indigena;Atuacao em Territorio de Fronteira;Qtd Prisao em Flagrante;Qtd Prisao Preventiva;Qtd Prisao Temporaria;Qtd Mandado de Busca e Apreesao;Qtd Valores Apreendidos;Qtd Valores Apreendidos i11;Qtd Valores Descapitalizados;Qtd Prejuizos Causados a Uniao;Proib Ausentar Comarca;Proib Acesso ou Freq;Comparecimento Juizo;Qtd Fianca;Qtd Internacao Prov;Proib Contato;Mand Jud Caut Assec;Recol Domic Noturno;Susp Ex Func Pub A E;Monit Eletronica
a8d3f684a6aab45308185b4a3b22ca70;14/09/2021;31/03/2022;Operacao Especial;Crimes Financeiros                                                                                                              ;MT;SR/PF/MT                                                        ;Nao;                                                                                                                                ;0;0;0;1;;;;;0;0;0;0;0;0;0;0;0;0
366c9b4f5a3a0a097dc9c5df0d5cef2f;24/09/2021;31/03/2022;Operacao Comum   ;Crimes de Corrupção                                                                                                             ;MT;DPF/BRG/MT                                                      ;Nao;                                                                                                                                ;0;0;0;2;R$85.000,00;;;;0;0;0;0;0;0;0;0;0;0
2f9e2b5cf0b130e6316aa43850581086;07/12/2021;31/03/2022;Operacao Especial;Tráfico de Drogas                                                                                                               ;TO;SR/PF/TO                                                        ;Nao;Venezuela                                                                                                                       ;0;7;3;13;R$11.246.434,00;;R$1.000.000,00;;0;0;0;0;0;0;0;0;0;0
49403149a70a437e795ea2b9793cc50e;17/12/2021;31/03/2022;Operacao Especial;Crimes Contra o Patrimônio                                                                                                      ;PI;SR/PF/PI                                                        ;Nao;                                                                                                                                ;1;0;0;1;R$235.000,00;;;;0;0;0;0;0;0;0;0;0;0
ed5439829e22d8bf8354005bc8603d37;24/03/2022;31/03/2022;Operacao Comum   ;Tráfico de Drogas                                                                                                               ;PB;SR/PF/PB                                                        ;Nao;                                                                                                                                ;0;0;1;2;;;;;0;0;0;0;0;0;0;0;0;0
b6056bbd039022e673455d380aa6b038;31/03/2022;31/03/2022;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;CE;SR/PF/CE                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
cab11b20f17e0558b9653e0347b18294;31/03/2022;31/03/2022;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;SP;SR/PF/SP                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
1014480fa9fd4c9edf5c05dfe2a8d8f5;31/03/2022;31/03/2022;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;SP;DPF/RPO/SP                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
beac08d527fe5ca7c17e38b19584ae48;31/03/2022;31/03/2022;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;SP;DPF/SOD/SP                                                      ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
3f32da325ff9a229d443424b95a75542;31/03/2022;31/03/2022;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;PA;SR/PF/PA                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
ad6532c7c55cccbd5b2a4e9cd5cc0c07;31/03/2022;31/03/2022;Operacao de Apoio;Crimes Fazendários                                                                                                              ;GO;SR/PF/GO                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
c5e348ddd390ebc319d012348ff9ad4a;31/03/2022;31/03/2022;Operacao Simples ;Crimes Fazendários                                                                                                              ;PI;SR/PF/PI                                                        ;Nao;                                                                                                                                ;1;0;0;1;;;;;0;0;0;0;0;0;0;0;0;0
36e2dc477ac2450d454cc95b826f19ad;31/03/2022;31/03/2022;Operacao de Apoio;Tráfico de Drogas                                                                                                               ;GO;SR/PF/GO                                                        ;Nao;                                                                                                                                ;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0
